N_Ep,Env_Steps,Avf_RM,Avg_EPLM
47093.0,1400001.0,48.20000076293945,108.69999694824219
47166.0,1410001.0,112.30000305175781,156.0
47254.0,1420001.0,0.20000000298023224,71.80000305175781
47332.0,1430001.0,116.4000015258789,159.8000030517578
47414.0,1440001.0,36.900001525878906,98.5999984741211
47497.0,1450001.0,77.5,132.89999389648438
47583.0,1460001.0,48.400001525878906,108.0
47659.0,1470001.0,61.79999923706055,122.0
47731.0,1480001.0,84.9000015258789,136.6999969482422
47817.0,1490001.0,69.69999694824219,125.0999984741211
47896.0,1500001.0,44.400001525878906,107.5999984741211
47983.0,1510001.0,58.900001525878906,116.69999694824219
48062.0,1520001.0,66.0,121.69999694824219
48141.0,1530001.0,67.5999984741211,123.9000015258789
48217.0,1540001.0,107.9000015258789,155.8000030517578
48294.0,1550001.0,102.9000015258789,150.8000030517578
48378.0,1560001.0,103.9000015258789,153.89999389648438
48453.0,1570001.0,139.1999969482422,178.39999389648438
48524.0,1580001.0,76.30000305175781,132.60000610351562
48593.0,1590001.0,94.4000015258789,143.5
48676.0,1600001.0,19.799999237060547,85.69999694824219
48752.0,1610001.0,73.80000305175781,126.5
48826.0,1620001.0,102.5,151.3000030517578
48903.0,1630001.0,65.0,120.4000015258789
48990.0,1640001.0,80.9000015258789,130.3000030517578
49071.0,1650001.0,85.4000015258789,136.3000030517578
49147.0,1660001.0,49.70000076293945,108.69999694824219
49236.0,1670001.0,88.19999694824219,140.89999389648438
49324.0,1680001.0,45.0,108.19999694824219
49399.0,1690001.0,76.4000015258789,132.10000610351562
49490.0,1700001.0,86.0,135.39999389648438
49567.0,1710001.0,45.79999923706055,106.5999984741211
49653.0,1720001.0,55.400001525878906,117.4000015258789
49725.0,1730001.0,65.0999984741211,121.69999694824219
49809.0,1740001.0,86.69999694824219,140.60000610351562
49889.0,1750001.0,90.5999984741211,141.1999969482422
49963.0,1760001.0,86.9000015258789,138.39999389648438
50043.0,1770001.0,82.69999694824219,134.8000030517578
50123.0,1780001.0,32.599998474121094,97.5999984741211
50208.0,1790001.0,30.799999237060547,95.80000305175781
50287.0,1800001.0,68.19999694824219,124.19999694824219
50376.0,1810001.0,87.4000015258789,137.6999969482422
50449.0,1820001.0,116.5,162.60000610351562
50531.0,1830001.0,60.099998474121094,117.9000015258789
50613.0,1840001.0,95.5,143.10000610351562
50691.0,1850001.0,85.0999984741211,138.6999969482422
50774.0,1860001.0,60.0,117.80000305175781
50852.0,1870001.0,93.9000015258789,142.10000610351562
50924.0,1880001.0,70.80000305175781,125.0
51003.0,1890001.0,86.80000305175781,135.0
51078.0,1900001.0,84.0,134.0
51147.0,1910001.0,45.900001525878906,110.30000305175781
51221.0,1920001.0,112.19999694824219,158.3000030517578
51296.0,1930001.0,105.0999984741211,152.10000610351562
51373.0,1940001.0,23.299999237060547,88.5999984741211
51448.0,1950001.0,96.5,148.0
51527.0,1960001.0,70.9000015258789,126.9000015258789
51602.0,1970001.0,107.69999694824219,156.1999969482422
51678.0,1980001.0,64.0,119.69999694824219
51760.0,1990001.0,48.70000076293945,109.5
